chrom,name,id,start,stop,orientation,based_on_coordinates,arm,start_pre_build,type,pre_name,confidence,stop_pre_build,balance,mirgenedb_ID
chr1,hsa-mir-6859-1_flanking-3,MI0022705,17344,17368,-,yes,3p,17369.0,flanking-3,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-6859-1_post-seed,MI0022705,17369,17383,-,yes,3p,17369.0,post-seed,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-6859-1_seed,MI0022705,17384,17390,-,yes,3p,17369.0,seed,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-6859-1_pre_seed,MI0022705,17391,17391,-,yes,3p,17369.0,pre-seed,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-6859-1_loop,MI0022705,17392,17408,-,yes,loop,17369.0,loop,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-6859-1_post-seed,MI0022705,17409,17423,-,yes,5p,17369.0,post-seed,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-6859-1_seed,MI0022705,17424,17430,-,yes,5p,17369.0,seed,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-6859-1_pre_seed,MI0022705,17431,17431,-,yes,5p,17369.0,pre-seed,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-6859-1_flanking-5,MI0022705,17432,17456,-,yes,5p,17369.0,flanking-5,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-1302-2_flanking-5,MI0006363,30385,30409,+,no,5p,30366.0,flanking-5,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-1302-2_pred-5_pre-seed,MI0006363,30410,30410,+,no,5p,30366.0,pre-seed,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-1302-2_pred-5_seed,MI0006363,30411,30417,+,no,5p,30366.0,seed,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-1302-2_pred-5_post-seed,MI0006363,30418,30432,+,no,5p,30366.0,post-seed,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-1302-2_loop,MI0006363,30433,30437,+,no,loop,30366.0,loop,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-1302-2_pre-seed,MI0006363,30438,30438,+,yes,3p,30366.0,pre-seed,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-1302-2_seed,MI0006363,30439,30445,+,yes,3p,30366.0,seed,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-1302-2_post-seed,MI0006363,30446,30458,+,yes,3p,30366.0,post-seed,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-1302-2_flanking-3,MI0006363,30459,30483,+,yes,3p,30366.0,flanking-3,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-6859-2_flanking-3,MI0026420,187866,187890,-,yes,3p,187891.0,flanking-3,hsa-mir-6859-2,High,187958,5p,
chr1,hsa-mir-6859-2_post-seed,MI0026420,187891,187905,-,yes,3p,187891.0,post-seed,hsa-mir-6859-2,High,187958,5p,
chr1,hsa-mir-6859-2_seed,MI0026420,187906,187912,-,yes,3p,187891.0,seed,hsa-mir-6859-2,High,187958,5p,
chr1,hsa-mir-6859-2_pre_seed,MI0026420,187913,187913,-,yes,3p,187891.0,pre-seed,hsa-mir-6859-2,High,187958,5p,
chr1,hsa-mir-6859-2_loop,MI0026420,187914,187930,-,yes,loop,187891.0,loop,hsa-mir-6859-2,High,187958,5p,
chr1,hsa-mir-6859-2_post-seed,MI0026420,187931,187945,-,yes,5p,187891.0,post-seed,hsa-mir-6859-2,High,187958,5p,
chr1,hsa-mir-6859-2_seed,MI0026420,187946,187952,-,yes,5p,187891.0,seed,hsa-mir-6859-2,High,187958,5p,
chr1,hsa-mir-6859-2_pre_seed,MI0026420,187953,187953,-,yes,5p,187891.0,pre-seed,hsa-mir-6859-2,High,187958,5p,
chr1,hsa-mir-6859-2_flanking-5,MI0026420,187954,187978,-,yes,5p,187891.0,flanking-5,hsa-mir-6859-2,High,187958,5p,
chr1,hsa-mir-12136_flanking-3,MI0039740,632590,632614,-,no,3p,632615.0,flanking-3,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-12136_pred-3_post-seed,MI0039740,632615,632650,-,no,3p,632615.0,post-seed,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-12136_pred-3-seed,MI0039740,632651,632657,-,no,3p,632615.0,seed,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-12136_pred-3_pre-seed,MI0039740,632658,632658,-,no,3p,632615.0,pre-seed,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-12136_loop,MI0039740,632659,632667,-,no,loop,632615.0,loop,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-12136_post-seed,MI0039740,632668,632677,-,yes,5p,632615.0,post-seed,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-12136_seed,MI0039740,632678,632684,-,yes,5p,632615.0,seed,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-12136_pre_seed,MI0039740,632685,632685,-,yes,5p,632615.0,pre-seed,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-12136_flanking-5,MI0039740,632686,632710,-,yes,5p,632615.0,flanking-5,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-200b_flanking-5,MI0000342,1167099,1167123,+,yes,5p,1167104.0,flanking-5,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200b_pre-seed,MI0000342,1167124,1167124,+,yes,5p,1167104.0,pre-seed,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200b_seed,MI0000342,1167125,1167131,+,yes,5p,1167104.0,seed,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200b_post-seed,MI0000342,1167132,1167145,+,yes,5p,1167104.0,post-seed,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200b_loop,MI0000342,1167146,1167159,+,yes,loop,1167104.0,loop,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200b_pre-seed,MI0000342,1167160,1167160,+,yes,3p,1167104.0,pre-seed,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200b_seed,MI0000342,1167161,1167167,+,yes,3p,1167104.0,seed,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200b_post-seed,MI0000342,1167168,1167181,+,yes,3p,1167104.0,post-seed,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200b_flanking-3,MI0000342,1167182,1167206,+,yes,3p,1167104.0,flanking-3,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200a_flanking-5,MI0000737,1167853,1167877,+,yes,5p,1167863.0,flanking-5,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-200a_pre-seed,MI0000737,1167878,1167878,+,yes,5p,1167863.0,pre-seed,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-200a_seed,MI0000737,1167879,1167885,+,yes,5p,1167863.0,seed,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-200a_post-seed,MI0000737,1167886,1167899,+,yes,5p,1167863.0,post-seed,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-200a_loop,MI0000737,1167900,1167915,+,yes,loop,1167863.0,loop,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-200a_pre-seed,MI0000737,1167916,1167916,+,yes,3p,1167863.0,pre-seed,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-200a_seed,MI0000737,1167917,1167923,+,yes,3p,1167863.0,seed,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-200a_post-seed,MI0000737,1167924,1167937,+,yes,3p,1167863.0,post-seed,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-200a_flanking-3,MI0000737,1167938,1167962,+,yes,3p,1167863.0,flanking-3,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-429_flanking-5,MI0001641,1168995,1169019,+,no,5p,1169005.0,flanking-5,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-429_pred-5_pre-seed,MI0001641,1169020,1169020,+,no,5p,1169005.0,pre-seed,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-429_pred-5_seed,MI0001641,1169021,1169027,+,no,5p,1169005.0,seed,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-429_pred-5_post-seed,MI0001641,1169028,1169040,+,no,5p,1169005.0,post-seed,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-429_loop,MI0001641,1169041,1169054,+,no,loop,1169005.0,loop,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-429_pre-seed,MI0001641,1169055,1169055,+,yes,3p,1169005.0,pre-seed,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-429_seed,MI0001641,1169056,1169062,+,yes,3p,1169005.0,seed,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-429_post-seed,MI0001641,1169063,1169076,+,yes,3p,1169005.0,post-seed,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-429_flanking-3,MI0001641,1169077,1169101,+,yes,3p,1169005.0,flanking-3,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-6726_flanking-3,MI0022571,1296085,1296109,-,yes,3p,1296110.0,flanking-3,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6726_post-seed,MI0022571,1296110,1296121,-,yes,3p,1296110.0,post-seed,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6726_seed,MI0022571,1296122,1296128,-,yes,3p,1296110.0,seed,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6726_pre_seed,MI0022571,1296129,1296129,-,yes,3p,1296110.0,pre-seed,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6726_loop,MI0022571,1296130,1296144,-,yes,loop,1296110.0,loop,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6726_post-seed,MI0022571,1296145,1296157,-,yes,5p,1296110.0,post-seed,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6726_seed,MI0022571,1296158,1296164,-,yes,5p,1296110.0,seed,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6726_pre_seed,MI0022571,1296165,1296165,-,yes,5p,1296110.0,pre-seed,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6726_flanking-5,MI0022571,1296166,1296190,-,yes,5p,1296110.0,flanking-5,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6727_flanking-3,MI0022572,1312477,1312501,-,yes,3p,1312502.0,flanking-3,hsa-mir-6727,Low,1312566,both,
chr1,hsa-mir-6727_post-seed,MI0022572,1312502,1312513,-,yes,3p,1312502.0,post-seed,hsa-mir-6727,Low,1312566,both,
chr1,hsa-mir-6727_seed,MI0022572,1312514,1312520,-,yes,3p,1312502.0,seed,hsa-mir-6727,Low,1312566,both,
chr1,hsa-mir-6727_pre_seed,MI0022572,1312521,1312521,-,yes,3p,1312502.0,pre-seed,hsa-mir-6727,Low,1312566,both,
